"Time","PulseRate","SpO2","PulseWaveform","BarGraph","SignalStrength","Beep","FingerOut","Searching","DroppingSpO2","ProbeError"
"2019-10-13 01:46:36.595640",0,0,59,7,4,False,False,False,False,False
"2019-10-13 01:46:36.612211",0,0,56,7,4,False,False,False,False,False
"2019-10-13 01:46:36.628930",0,0,53,6,4,False,False,False,False,False
"2019-10-13 01:46:36.645593",0,0,50,6,4,False,False,False,False,False
"2019-10-13 01:46:36.662411",0,0,46,5,4,False,False,False,False,False
"2019-10-13 01:46:36.678914",0,0,43,5,4,False,False,False,False,False
"2019-10-13 01:46:36.695673",0,0,40,5,4,False,False,False,False,False
"2019-10-13 01:46:36.712498",0,0,38,4,4,False,False,False,False,False
"2019-10-13 01:46:36.729033",0,0,36,4,4,False,False,False,False,False
"2019-10-13 01:46:36.745836",0,0,34,4,4,False,False,False,False,False
"2019-10-13 01:46:36.762529",0,0,33,4,4,False,False,False,False,False
"2019-10-13 01:46:36.779209",0,0,32,4,4,False,False,False,False,False
"2019-10-13 01:46:36.795946",0,0,31,3,4,False,False,False,False,False
"2019-10-13 01:46:36.812608",0,0,31,3,4,False,False,False,False,False
"2019-10-13 01:46:36.829272",0,0,30,3,4,False,False,False,False,False
"2019-10-13 01:46:36.846122",0,0,30,3,4,False,False,False,False,False
"2019-10-13 01:46:36.862732",0,0,30,3,4,False,False,False,False,False
"2019-10-13 01:46:36.879481",0,0,29,3,4,False,False,False,False,False
"2019-10-13 01:46:36.896117",0,0,29,3,4,False,False,False,False,False
"2019-10-13 01:46:36.912788",0,0,29,3,4,False,False,False,False,False
"2019-10-13 01:46:36.929476",0,0,29,3,4,False,False,False,False,False
"2019-10-13 01:46:36.946231",0,0,32,4,4,False,False,False,False,False
"2019-10-13 01:46:36.962987",0,0,38,4,4,False,False,False,False,False
"2019-10-13 01:46:36.979593",0,0,47,5,4,False,False,False,False,False
"2019-10-13 01:46:36.996380",0,0,58,7,4,False,False,False,False,False
"2019-10-13 01:46:37.013072",0,0,70,8,4,False,False,False,False,False
"2019-10-13 01:46:37.029762",0,0,81,10,4,False,False,False,False,False
"2019-10-13 01:46:37.046388",0,0,87,10,4,False,False,False,False,False
"2019-10-13 01:46:37.063130",0,0,87,10,4,False,False,False,False,False
"2019-10-13 01:46:37.079686",0,0,80,10,4,True,False,False,False,False
"2019-10-13 01:46:37.096590",0,0,67,8,4,True,False,False,False,False
"2019-10-13 01:46:37.113161",0,0,50,6,4,False,False,False,False,False
"2019-10-13 01:46:37.129870",0,0,30,3,4,False,False,False,False,False
"2019-10-13 01:46:37.146483",0,0,7,0,4,False,False,False,False,False
"2019-10-13 01:46:37.163246",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.180023",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.196702",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.213446",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.230043",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.246837",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.263553",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.280189",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.296951",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.313571",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.330233",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.346961",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.363551",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.380425",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.397084",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.413828",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.430566",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.447168",0,0,0,0,4,False,False,False,False,False
"2019-10-13 01:46:37.464007",0,0,0,0,4,False,False,False,False,False
